FECHA_SINTOMAS,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA DE ZARAGOZA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN DE OCAMPO,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ DE IGNACIO DE LA LLAVE,YUCATÁN,ZACATECAS
2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-06,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-07,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-19,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-21,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-22,1,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-23,1,3,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-25,1,3,0,0,1,0,2,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-26,1,3,0,0,1,0,2,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-27,1,3,0,0,1,0,3,2,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-28,1,3,0,0,1,0,5,2,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-29,1,3,0,0,1,0,6,2,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-01,1,3,0,0,1,0,8,2,0,0,0,0,1,2,0,0,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0
2020-03-02,1,3,0,0,1,0,13,2,0,0,0,0,1,2,0,1,6,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0
2020-03-03,1,3,0,0,1,0,15,2,0,0,0,0,1,2,0,1,9,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0
2020-03-04,1,3,0,0,1,0,18,3,0,0,0,0,1,3,0,1,10,0,3,0,0,0,1,0,2,0,0,0,0,1,0,0
2020-03-05,1,3,0,0,1,0,20,3,0,0,0,0,1,3,0,1,11,0,4,0,2,1,1,0,2,0,0,0,0,1,0,0
2020-03-06,1,3,0,0,1,0,26,3,0,1,0,0,1,5,0,1,11,0,5,0,2,1,1,0,2,0,0,0,0,1,0,0
2020-03-07,2,3,0,0,1,0,35,3,0,1,0,0,2,6,0,1,16,0,7,0,2,1,1,1,2,0,0,0,0,1,1,0
2020-03-08,2,3,0,1,1,0,40,3,0,1,0,1,3,9,0,1,19,0,7,0,4,2,2,1,2,0,0,0,0,1,4,0
2020-03-09,2,4,0,2,1,0,59,3,0,2,0,2,3,12,1,1,30,0,16,1,8,3,3,2,3,0,3,0,0,1,5,1
2020-03-10,3,4,0,2,1,0,81,4,0,2,1,2,3,16,1,2,32,1,18,2,11,7,5,2,3,0,5,0,0,1,8,1
2020-03-11,3,6,0,2,1,0,100,4,0,3,1,3,3,22,1,2,37,1,23,2,13,8,8,3,3,2,5,0,0,1,11,1
2020-03-12,4,8,0,3,1,2,115,4,1,3,3,4,4,30,1,2,45,1,25,4,14,8,9,4,4,4,5,0,0,5,12,2
2020-03-13,4,12,1,3,2,3,147,5,1,3,3,5,7,38,1,2,55,1,31,4,18,9,12,4,4,5,7,1,0,5,17,2
2020-03-14,5,15,1,3,3,3,180,5,1,3,6,5,8,46,1,3,65,1,39,4,22,10,16,5,6,5,9,3,0,8,20,2
2020-03-15,6,18,1,3,3,4,215,5,2,4,9,8,8,48,9,3,78,2,46,4,25,11,22,9,8,5,10,3,0,10,21,2
2020-03-16,8,23,4,3,3,5,257,7,2,4,19,9,9,54,10,4,96,2,49,5,36,14,24,11,11,7,13,6,1,12,23,3
2020-03-17,10,28,5,3,3,6,280,10,2,4,23,12,9,66,12,5,109,3,57,5,40,17,27,12,13,11,15,6,1,14,30,4
2020-03-18,14,39,6,4,3,8,305,14,2,6,25,14,11,74,16,6,121,3,63,5,46,19,34,16,14,12,21,6,1,18,35,5
2020-03-19,16,49,6,4,3,9,338,16,2,7,26,16,13,74,16,7,131,4,68,7,48,19,39,18,18,14,29,6,1,20,44,8
